carid,price
3,16.06898036
4,10.93632351
8,9.661638019
9,15.65573978
11,10.99479408
15,22.49430766
17,10.34821624
19,11.41225175
21,10.41711813
27,6.593232249
28,11.28527356
29,14.28472637
30,18.24781506
35,9.695956371
36,13.03030831
37,10.98015928
39,9.910147522
42,11.23762572
43,11.81166321
44,12.81114584
46,36.41218774
47,14.23199566
48,13.39265449
52,13.07741392
53,8.960209627
54,16.51996408
58,12.17952256
59,8.171181014
60,13.86097544
61,11.39143081
62,11.88832535
63,7.344300842
69,10.53523137
70,8.88565993
71,10.77158951
73,10.19787233
77,9.171803474
80,8.601051095
81,14.09449161
82,14.29878073
83,12.74983214
84,15.06328708
86,13.17266881
87,11.81751662
91,15.81866154
92,11.94065479
93,14.7914014
95,10.81355232
97,14.94510734
98,10.15677803
100,8.494769486
101,11.76301816
103,12.05020633
107,7.266776456
109,13.99141949
110,15.72378176
111,10.43517076
113,12.83926573
116,8.960108148
118,10.9915039
119,8.721478005
120,7.378716771
121,11.28047217
126,8.692161486
127,11.3955879
128,8.057532015
129,11.86759031
134,14.41844998
135,14.22062807
137,12.70739095
139,15.72665805
141,12.07082378
142,7.542765665
143,12.99753823
146,12.34446358
147,14.58692967
152,7.148005102
153,14.89949878
154,9.046027763
155,9.573307269
160,16.24110446
161,13.34769866
163,11.96098797
164,9.314072174
166,12.374528
167,13.09611789
168,13.14860042
169,13.89385191
170,15.54330294
171,12.98912026
181,11.57323612
182,14.35013507
184,14.17149554
191,14.34082859
193,12.66655912
194,15.03339206
196,9.051486058
200,13.10337919
201,7.758455367
206,10.62965108
207,11.90872954
209,8.389652399
211,9.745116608
213,13.29120963
215,18.81761611
216,16.43970832
219,12.67791621
223,12.43901596
225,8.713490934
226,12.30627629
227,9.813321463
228,14.53089614
230,9.803378944
231,14.70378421
233,6.470516891
234,10.35110959
236,10.8304703
237,20.22228367
238,11.67997944
241,9.384766031
242,12.45680634
246,7.792746958
247,11.7266794
250,18.36506361
251,9.349949642
252,6.726041772
255,13.36285544
256,12.01082079
259,11.94943194
262,10.48585709
263,14.62932865
269,11.52359127
270,9.737574127
272,11.28213262
273,9.841590074
274,14.54682643
276,7.703357961
277,12.57400623
283,8.710681598
290,14.2498282
291,11.28839077
292,16.6774013
293,8.685765725
296,10.23498478
298,17.28227116
299,15.71053254
300,8.009776863
301,14.96848569
304,12.02570407
306,8.893482651
309,10.48477093
310,11.90629184
311,13.44500566
313,12.6927644
314,14.68749069
315,14.15613356
316,11.54972166
317,8.58806353
318,11.74355585
322,15.56550265
325,8.016265382
328,12.30983013
329,58.39631666
336,14.10431657
337,12.69569304
338,9.692845452
340,12.38747845
343,12.50483717
346,8.82449136
347,12.58791112
349,9.867803149
354,10.91323466
355,13.87261352
356,11.59307179
357,9.024174199
359,9.863923958
361,12.45405012
363,12.04565605
365,10.45056985
366,8.964079897
367,10.49423158
370,15.55479673
372,8.962283918
374,10.87404248
375,12.48640657
376,12.27844341
377,13.92517082
378,9.132474129
380,15.90999987
385,15.41377561
388,8.798297884
389,9.678633386
391,11.9794446
393,8.184747801
394,9.380444946
398,14.48805383
399,11.24791066
400,63.10857327
403,14.54159268
405,10.28613773
408,8.159261473
409,8.575234405
411,15.18734344
412,52.87575109
417,10.76865492
418,12.59039039
420,14.56945607
423,9.880366338
424,12.44582389
425,10.75328022
428,11.11175906
431,13.76413697
432,10.08308515
436,11.82881704
439,11.03699693
440,11.31798908
441,13.92721028
442,14.95016163
444,11.62523706
445,13.80273251
446,13.23628373
451,14.11762493
453,13.57879164
454,15.00629622
455,13.30707946
459,14.2853953
461,9.124541793
464,9.051528478
465,12.92473263
467,10.53145855
472,13.81690197
475,10.52558296
476,8.107001368
478,12.88035031
479,10.19505278
480,9.791711328
482,19.52317142
483,12.67503485
484,12.7868832
485,14.24861921
486,8.40868274
487,15.23185495
489,14.27067396
492,15.09774686
493,7.747764525
494,12.26433141
495,11.68198582
497,16.1174608
499,8.307308414
501,12.39301938
504,14.99978317
505,14.07667303
508,7.64573635
509,9.949300955
512,10.86732802
515,13.19611976
517,11.7072042
520,11.04775745
521,11.91838536
522,14.13465199
525,11.58497532
528,15.39168818
529,9.469733884
533,10.71017924
535,11.00029558
536,11.90005391
538,9.251487706
539,11.20745858
542,14.16326529
543,12.54405115
544,12.17501653
545,17.93632449
546,11.04618291
547,9.356230799
551,7.86006961
552,9.509185488
554,10.51871837
558,11.75980398
559,13.3063302
561,13.57178738
563,11.30859973
567,9.749376075
568,11.71365018
570,11.80645947
572,9.927520071
576,13.36497739
580,10.63022791
582,9.277257319
583,15.2891262
584,10.78457196
585,13.62416838
591,16.09028544
594,8.841256557
596,14.53166429
599,12.49317309
601,7.590977025
603,11.18449013
604,9.516418307
605,6.880362856
